0.025,0.025,0.0
0.009,0.009,0.0
0.021,0.021,0.0
0.019,0.019,0.0
0.022,0.022,0.0
0.076,0.076,0.0
0.02,0.02,0.0
0.044,0.044,0.0
0.021,0.021,0.0
0.021,0.021,0.0
0.025,0.025,0.0
0.032,0.032,0.0
0.035,0.035,0.0
0.027,0.027,0.0
0.034,0.034,0.0
0.014,0.014,0.0
0.033,0.033,0.0
0.033,0.033,0.0
0.048,0.048,0.0
0.032,0.032,0.0
0.032,0.032,0.0
0.035,0.035,0.0
0.031,0.031,0.0
0.032,0.032,0.0
0.032,0.032,0.0
0.031,0.031,0.0
0.034,0.034,0.0
0.03,0.03,0.0
0.034,0.034,0.0
0.032,0.032,0.0
0.05,0.05,0.0
0.028,0.028,0.0
0.033,0.033,0.0
0.032,0.032,0.0
0.031,0.031,0.0
0.032,0.032,0.0
0.032,0.032,0.0
0.03,0.03,0.0
0.033,0.033,0.0
0.032,0.032,0.0
0.049,0.049,0.0
0.031,0.031,0.0
0.033,0.033,0.0
0.03,0.03,0.0
0.031,0.031,0.0
0.019,0.019,0.0
0.021,0.021,0.0
0.075,0.075,0.0
0.032,0.032,0.0
0.031,0.031,0.0
0.031,0.031,0.0
0.008,0.008,0.0
0.021,0.021,0.0
0.037,0.037,0.0
0.034,0.034,0.0
0.032,0.032,0.0
0.038,0.038,0.0
0.023,0.023,0.0
0.032,0.032,0.0
0.044,0.044,0.0
0.036,0.036,0.0
0.033,0.033,0.0
0.034,0.034,0.0
0.032,0.032,0.0
0.032,0.032,0.0
0.035,0.035,0.0
0.029,0.029,0.0
0.032,0.032,0.0
0.039,0.039,0.0
0.024,0.024,0.0
0.032,0.032,0.0
0.048,0.048,0.0
0.033,0.033,0.0
0.032,0.032,0.0
0.033,0.033,0.0
0.03,0.03,0.0
0.033,0.033,0.0
0.036,0.036,0.0
0.028,0.028,0.0
0.036,0.036,0.0
0.037,0.037,0.0
0.024,0.024,0.0
0.05,0.05,0.0
0.033,0.033,0.0
0.028,0.028,0.0
0.033,0.033,0.0
0.034,0.034,0.0
0.029,0.029,0.0
0.035,0.035,0.0
0.035,0.035,0.0
